OBJECTID,Longitude,Latitude,Section,Destination,Timestamp,Color,Time,Date
54,117.7594947,34.27905261,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:18,"March 8th, 13 BC"
55,117.7570733,34.27504701,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:21,"March 8th, 13 BC"
56,117.7541112,34.27135562,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:25,"March 8th, 13 BC"
57,117.7490787,34.26975898,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:28,"March 8th, 13 BC"
58,117.7436996,34.26914241,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:32,"March 8th, 13 BC"
59,117.7383847,34.26825053,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:35,"March 8th, 13 BC"
60,117.7336642,34.26605965,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:39,"March 8th, 13 BC"
61,117.7294562,34.26321582,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:42,"March 8th, 13 BC"
62,117.7260728,34.25971463,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:45,"March 8th, 13 BC"
63,117.7248637,34.25534647,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:49,"March 8th, 13 BC"
64,117.7246967,34.25084019,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:52,"March 8th, 13 BC"
65,117.7240899,34.24636993,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:56,"March 8th, 13 BC"
66,117.7210866,34.24274939,To Pengcheng,Waterways,,#DC143C,2013-3-8 11:59,"March 8th, 13 BC"
67,117.7160925,34.24101172,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:03,"March 8th, 13 BC"
68,117.7110863,34.239295,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:06,"March 8th, 13 BC"
69,117.708181,34.235669,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:10,"March 8th, 13 BC"
70,117.7074722,34.2312001,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:13,"March 8th, 13 BC"
71,117.7043305,34.22792138,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:17,"March 8th, 13 BC"
72,117.6989181,34.22780044,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:20,"March 8th, 13 BC"
73,117.6937443,34.2269007,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:24,"March 8th, 13 BC"
74,117.6927585,34.2225788,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:27,"March 8th, 13 BC"
75,117.6930127,34.21807656,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:31,"March 8th, 13 BC"
76,117.6902716,34.21469157,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:34,"March 8th, 13 BC"
77,117.684856,34.21464549,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:38,"March 8th, 13 BC"
78,117.6795668,34.21383435,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:41,"March 8th, 13 BC"
79,117.6747743,34.21173244,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:45,"March 8th, 13 BC"
80,117.6703742,34.20909544,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:48,"March 8th, 13 BC"
81,117.6662885,34.20613671,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:52,"March 8th, 13 BC"
82,117.6629884,34.2025623,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:55,"March 8th, 13 BC"
83,117.6599909,34.19880352,To Pengcheng,Waterways,,#DC143C,2013-3-8 12:59,"March 8th, 13 BC"
84,117.6566329,34.19526854,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:02,"March 8th, 13 BC"
85,117.6522176,34.19270737,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:06,"March 8th, 13 BC"
86,117.6469188,34.19183087,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:09,"March 8th, 13 BC"
87,117.6414975,34.1919243,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:13,"March 8th, 13 BC"
88,117.6360957,34.19235113,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:16,"March 8th, 13 BC"
89,117.6306851,34.19268055,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:20,"March 8th, 13 BC"
90,117.6252838,34.19237061,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:23,"March 8th, 13 BC"
91,117.6204277,34.19046889,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:26,"March 8th, 13 BC"
92,117.6166959,34.18721202,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:30,"March 8th, 13 BC"
93,117.6138158,34.18339607,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:33,"March 8th, 13 BC"
94,117.6115508,34.17930093,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:37,"March 8th, 13 BC"
95,117.6097376,34.17505223,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:40,"March 8th, 13 BC"
96,117.6082753,34.17071068,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:44,"March 8th, 13 BC"
97,117.6071021,34.16630873,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:47,"March 8th, 13 BC"
98,117.6065617,34.16182915,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:51,"March 8th, 13 BC"
99,117.6065091,34.15732036,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:54,"March 8th, 13 BC"
100,117.6057894,34.15286233,To Pengcheng,Waterways,,#DC143C,2013-3-8 13:58,"March 8th, 13 BC"
101,117.6036358,34.14873695,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:01,"March 8th, 13 BC"
102,117.6005837,34.14501325,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:05,"March 8th, 13 BC"
103,117.5972059,34.14148566,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:08,"March 8th, 13 BC"
104,117.5939193,34.13790004,To Pengcheng,Waterways,,#DC143C,2013-3-8 14:12,"March 8th, 13 BC"
